code,date,open,close,high,low,volume
SH.688122,2021-02-05 10:30:00,59.58,59.5,60.35,58.99,532600.0
SH.688122,2021-02-05 11:00:00,59.52,59.45,60.19,59.29,335300.0
SH.688122,2021-02-05 11:30:00,59.45,58.82,59.86,58.82,192800.0
SH.688122,2021-02-05 13:30:00,58.82,59.34,59.6,58.27,272200.0
SH.688122,2021-02-05 14:00:00,59.35,59.88,59.99,59.35,259600.0
SH.688122,2021-02-05 14:30:00,59.89,59.2,59.93,58.83,256900.0
SH.688122,2021-02-05 15:00:00,59.2,58.38,59.4,58.33,391600.0
SH.688122,2021-02-08 10:00:00,58.5,58.5,59.17,57.0,628100.0
SH.688122,2021-02-08 10:30:00,58.56,58.56,59.58,58.35,304600.0
SH.688122,2021-02-08 11:00:00,58.66,59.44,59.63,58.66,351400.0
SH.688122,2021-02-08 11:30:00,59.44,59.32,60.0,59.11,474600.0
SH.688122,2021-02-08 13:30:00,59.28,59.33,59.8,59.01,179000.0
SH.688122,2021-02-08 14:00:00,59.31,59.03,59.38,58.87,180900.0
SH.688122,2021-02-08 14:30:00,59.01,59.22,59.38,58.56,306500.0
SH.688122,2021-02-08 15:00:00,59.22,58.82,59.22,58.74,338000.0
SH.688122,2021-02-09 10:00:00,59.19,59.78,59.9,58.39,948200.0
SH.688122,2021-02-09 10:30:00,59.78,61.02,61.38,59.74,714500.0
SH.688122,2021-02-09 11:00:00,61.02,62.17,62.73,60.86,929700.0
SH.688122,2021-02-09 11:30:00,62.16,62.46,62.55,61.96,538900.0
SH.688122,2021-02-09 13:30:00,62.47,62.34,63.21,62.05,743100.0
SH.688122,2021-02-09 14:00:00,62.34,63.21,63.47,62.34,637100.0
SH.688122,2021-02-09 14:30:00,63.2,62.26,63.36,62.2,345700.0
SH.688122,2021-02-09 15:00:00,62.26,62.79,62.9,62.23,491600.0
SH.688122,2021-02-10 10:00:00,63.03,61.98,63.03,61.4,947700.0
SH.688122,2021-02-10 10:30:00,61.95,63.69,64.14,61.7,719800.0
SH.688122,2021-02-10 11:00:00,63.69,65.15,65.3,63.49,758200.0
SH.688122,2021-02-10 11:30:00,65.2,65.5,65.65,64.74,673100.0
SH.688122,2021-02-10 13:30:00,65.48,64.46,65.55,64.22,611600.0
SH.688122,2021-02-10 14:00:00,64.43,63.96,64.43,63.47,733200.0
SH.688122,2021-02-10 14:30:00,63.96,63.65,63.96,63.19,522100.0
SH.688122,2021-02-10 15:00:00,63.64,63.32,63.88,63.16,540100.0
SH.688122,2021-02-18 10:00:00,64.66,64.93,65.75,63.79,1595300.0
SH.688122,2021-02-18 10:30:00,64.93,62.39,64.93,62.0,655600.0
SH.688122,2021-02-18 11:00:00,62.13,62.83,63.7,62.12,627200.0
SH.688122,2021-02-18 11:30:00,62.65,62.05,63.14,62.05,424800.0
SH.688122,2021-02-18 13:30:00,62.08,61.61,62.5,61.6,488000.0
SH.688122,2021-02-18 14:00:00,61.65,61.31,61.89,61.31,461600.0
SH.688122,2021-02-18 14:30:00,61.31,61.24,61.51,61.02,409200.0
SH.688122,2021-02-18 15:00:00,61.25,61.4,61.58,61.03,485300.0
SH.688122,2021-02-19 10:00:00,61.45,59.43,61.75,59.07,1060700.0
SH.688122,2021-02-19 10:30:00,59.43,59.48,59.79,58.7,754700.0
SH.688122,2021-02-19 11:00:00,59.48,59.72,59.88,59.1,624000.0
SH.688122,2021-02-19 11:30:00,59.72,59.81,60.2,59.59,684100.0
SH.688122,2021-02-19 13:30:00,59.83,60.01,60.51,59.81,361300.0
SH.688122,2021-02-19 14:00:00,60.01,59.88,60.25,59.7,642800.0
SH.688122,2021-02-19 14:30:00,59.88,59.6,59.91,59.48,592900.0
SH.688122,2021-02-19 15:00:00,59.58,60.5,60.5,59.55,507500.0
SH.688122,2021-02-22 10:00:00,61.53,63.09,63.68,61.53,1721700.0
SH.688122,2021-02-22 10:30:00,63.16,63.23,64.48,63.13,645000.0
SH.688122,2021-02-22 11:00:00,63.35,62.07,63.6,61.9,874100.0
SH.688122,2021-02-22 11:30:00,62.07,62.13,62.7,61.83,355600.0
SH.688122,2021-02-22 13:30:00,62.08,63.7,63.8,62.08,790100.0
SH.688122,2021-02-22 14:00:00,63.65,63.01,63.8,62.59,538300.0
SH.688122,2021-02-22 14:30:00,63.01,61.33,63.15,60.97,883600.0
SH.688122,2021-02-22 15:00:00,61.55,62.06,62.49,61.55,440600.0
SH.688122,2021-02-23 10:00:00,60.39,61.05,61.17,58.45,1381100.0
SH.688122,2021-02-23 10:30:00,60.9,62.77,62.98,60.3,755100.0
SH.688122,2021-02-23 11:00:00,62.48,63.19,63.29,62.35,532600.0
SH.688122,2021-02-23 11:30:00,63.16,63.1,63.36,62.87,357000.0
SH.688122,2021-02-23 13:30:00,63.1,61.85,63.39,61.85,684300.0
SH.688122,2021-02-23 14:00:00,61.85,63.35,63.39,61.81,649500.0
SH.688122,2021-02-23 14:30:00,63.34,63.46,64.0,63.08,717400.0
SH.688122,2021-02-23 15:00:00,63.42,63.05,63.5,62.61,592100.0
SH.688122,2021-02-24 10:00:00,64.18,62.64,65.5,62.49,1448500.0
SH.688122,2021-02-24 10:30:00,62.64,62.03,62.71,61.52,688100.0
SH.688122,2021-02-24 11:00:00,62.03,61.56,62.03,61.16,674900.0
SH.688122,2021-02-24 11:30:00,61.61,61.94,62.33,61.5,301700.0
SH.688122,2021-02-24 13:30:00,61.84,62.58,62.77,61.3,449000.0
SH.688122,2021-02-24 14:00:00,62.58,62.2,62.7,61.8,279300.0
SH.688122,2021-02-24 14:30:00,62.2,62.14,62.59,61.5,546700.0
SH.688122,2021-02-24 15:00:00,62.15,62.05,62.63,62.05,367900.0
SH.688122,2021-02-25 10:00:00,60.5,60.01,61.53,59.63,2114500.0
SH.688122,2021-02-25 10:30:00,60.01,59.8,61.25,59.59,826900.0
SH.688122,2021-02-25 11:00:00,59.88,61.08,61.11,59.67,497300.0
SH.688122,2021-02-25 11:30:00,61.09,61.4,61.51,60.77,321200.0
SH.688122,2021-02-25 13:30:00,61.6,62.78,62.99,61.6,780100.0
SH.688122,2021-02-25 14:00:00,62.78,62.3,62.9,62.22,392000.0
SH.688122,2021-02-25 14:30:00,62.22,61.95,62.35,61.72,281300.0
SH.688122,2021-02-25 15:00:00,61.95,61.77,62.2,61.52,382200.0
SH.688122,2021-02-26 10:00:00,61.03,62.39,62.88,60.2,1646200.0
SH.688122,2021-02-26 10:30:00,62.38,63.51,63.91,62.38,1105500.0
SH.688122,2021-02-26 11:00:00,63.6,62.89,63.82,62.5,627800.0
SH.688122,2021-02-26 11:30:00,62.85,61.83,62.92,61.81,499700.0
SH.688122,2021-02-26 13:30:00,61.85,60.95,62.03,60.81,538000.0
